max_strain,LN,EQ_MKZ,EQ_HH,NL_MKZ,NL_HH
0.0608455,4.280168131,1.210436535,2.473169971,1.509822242,3.480192065
0.0144354,3.783435455,3.372721855,3.372706791,2.95015501,3.034410389
0.00501515,3.644156914,3.412930082,3.412937481,3.492870904,3.476985348
0.0131355,3.859686522,4.080966363,4.080964838,4.045630486,4.106688051
0.00789806,4.296626082,4.141535439,4.141530136,4.011080977,3.993792328
0.00558138,3.715934805,3.791814198,3.791810746,3.665794218,3.64941286
0.0139701,4.393190352,4.216972822,4.216981744,3.718167288,3.786288483
0.0127429,3.843431611,3.426462469,3.426452594,3.201186753,3.199963845
0.0987349,3.769330065,0.584155255,1.936586726,0.173444596,2.448752539
0.0246007,3.52112347,3.026649088,3.146861273,2.017492355,2.744554963
0.0111395,3.817741124,3.578845662,3.578844799,3.568254931,3.545419423
0.0100478,3.515560973,3.344825021,3.344816227,2.822865039,2.802315587
0.00568411,2.707135066,2.672988285,2.672986112,2.962192433,2.940615458
0.00677691,3.454692488,3.475893023,3.475890077,3.581327521,3.55951587
0.0165791,2.974184402,2.821855377,2.821869653,2.905527005,3.084692181
0.0176465,3.100427232,2.978081941,2.978084096,2.80346394,3.072284135
0.00639772,2.29038549,2.188923477,2.188915366,2.03057558,2.00565717
0.0067737,2.451282389,2.414667993,2.414677748,2.777568271,2.761241855
0.0110373,3.95904718,3.752532196,3.752537374,3.513986399,3.50116671
0.0163236,3.79213543,3.734373627,3.734366848,3.415869753,3.526136164
0.014204,2.505457314,2.344360216,2.344360338,2.670945019,2.716247256
0.0211646,3.682116283,2.70257304,2.707269527,2.73629105,2.912175809
0.00570401,3.105176523,3.170880929,3.170868432,3.775586872,3.747185422
0.00459221,2.792485656,2.7797929,2.779780694,3.150874976,3.136750487
0.00844685,3.689753193,3.730148679,3.730139739,3.471334764,3.447962955
0.00937865,3.046682627,2.991944084,2.991940728,3.165917423,3.140185251
0.0088222,3.182369115,3.097197722,3.097202905,3.359686303,3.347919032
0.0176861,4.28277179,3.97462909,3.974704011,3.967967786,4.070178338
0.0106476,2.019324353,1.837584607,1.837580217,1.889326197,1.870767799
0.00733886,3.407576256,3.493273901,3.493269245,3.793867735,3.779269763
0.00785629,4.587603267,4.517127247,4.517122753,3.850201701,3.846253035
0.021169,3.985785799,3.253287291,3.255078808,3.036876081,3.285382127
0.0217119,3.933231808,3.503592404,3.515203096,2.64907915,3.10711598
0.00381512,3.156603986,3.083532575,3.083546298,2.944117307,2.92281601
0.0165196,3.760816405,3.452339525,3.511056892,2.949723794,3.193671577
0.016444,3.690439121,3.511430646,3.511433315,3.365802365,3.536418918
0.00754613,3.182615434,3.071801899,3.071806933,2.879635096,2.86812092
0.0194331,4.083965125,3.531512864,3.531510441,3.181370449,3.308823336
0.0107057,3.463900014,3.524676143,3.524675976,2.699843197,2.675265543
0.00720501,2.874205321,2.869693581,2.869683471,3.084387837,3.063172378
0.00733523,3.746515535,3.560107567,3.56010201,3.298004891,3.278178837
0.00490066,4.108893813,3.948801063,3.948804836,3.821621326,3.807667856
0.0097406,3.336510314,3.457409004,3.457404537,3.659973637,3.637028098
0.00859611,2.034932067,2.065705474,2.065685201,2.485777701,2.466008621
0.0155413,4.147547638,3.995250734,3.995250973,3.79661074,3.840306141
0.00530293,3.18135876,3.175826085,3.17581505,3.11927802,3.106994047
0.00968078,2.951712062,3.039889424,3.039880719,2.819476114,2.7976861
0.00603878,2.932614168,2.891155998,2.891154994,3.016743455,2.993969298
0.00886195,2.753845988,2.801320493,2.801342845,2.477819523,2.458147743
0.00564788,3.409564848,3.506692305,3.506681659,3.043791709,3.025140554
0.00582765,3.793791862,3.459248153,3.459216536,3.577118918,3.557023878
0.0170224,3.695245954,3.861618914,3.861623949,3.352143359,3.543275346
0.0230206,3.673122101,2.976849607,2.979013954,2.750161329,3.216067479
0.0108134,2.37716285,2.411332593,2.411319654,2.634703916,2.61636207
0.0052138,3.189184581,3.199532879,3.199519304,3.307086824,3.278476617
0.0071344,3.970952129,3.615206732,3.615207969,3.185867977,3.166874516
0.0126631,2.994393416,2.969598443,2.969603475,3.132305147,3.121916638
0.0201434,4.123530567,3.909815334,3.985354735,2.906393104,3.518741267
0.0178094,4.132057638,3.287562573,3.287567281,3.505413533,3.598776498
0.00510196,3.083912353,3.114076933,3.114071935,3.762982403,3.744334574
0.0276123,4.095939775,3.118620422,3.456628078,3.048812825,3.423002513
0.0174592,3.572233025,3.062942774,3.062936704,3.573887216,3.602512095
0.00746116,3.524782327,3.637735512,3.637729266,3.379734302,3.36923145
0.0145808,2.662350874,2.258931846,2.258949497,1.320822456,1.369107015
0.0380886,4.463638296,2.767812145,2.954367193,2.750678047,3.921744541
0.0578355,3.862660767,0.300190634,1.141601359,0.663092493,2.137362553
0.00716268,3.634243902,3.389157382,3.389163103,3.585210813,3.572392865
0.0625168,4.070660773,1.641322821,2.463548466,1.574552598,3.358024815
0.0422751,3.88262961,1.293355932,1.656684645,2.073121312,2.911802139
0.00905035,3.091645316,3.073712315,3.073709291,3.407926065,3.389142259
0.0134317,3.257643412,2.720646106,2.720638899,3.349481486,3.364660046
0.0100361,3.327031059,2.960759248,2.960767906,3.08709718,3.064607373
0.0174773,3.650134189,3.569280422,3.569281074,3.801408828,3.877588033
0.0233364,2.849285992,2.608677601,2.659951037,2.641793112,3.089758072
0.00917465,3.327497703,3.141174084,3.141168727,3.095743918,3.07040734
0.0242319,3.911894617,3.62157616,3.707204529,3.037663392,3.627269301
0.0148758,3.441722167,2.822727478,2.82274755,2.252624556,2.332071486
0.00374276,2.878869348,2.782354422,2.782341067,2.690181184,2.670526
0.0162654,2.221315756,2.010248176,2.010251274,1.75043683,1.870845978
0.0180797,4.091548245,3.655923951,3.655911386,2.902015826,3.268233955
0.00819529,3.25700855,3.196337658,3.196349278,3.087451481,3.069620635
0.0127946,3.547015962,3.219145167,3.219144621,2.984789564,2.992954597
0.00749539,3.018055409,2.779303247,2.779275528,2.840736526,2.829527749
0.0127788,3.359458707,3.068187047,3.068185096,2.94538164,2.935902062
0.00451439,3.524000077,3.333895277,3.333894827,3.044978866,3.024328213
0.00988234,3.197808655,3.324352031,3.324342135,3.380089535,3.367491118
0.0210222,4.030962883,2.832981732,2.830799021,3.621124156,3.786236658
0.00646889,4.114937185,4.002506049,4.00250594,3.753401622,3.737543757
0.0172259,4.190229692,3.050695266,3.050691231,3.052430525,3.184716909
0.0216828,4.002795963,3.575498173,3.577382536,3.222245292,3.538470574
0.00453379,2.597757696,2.411487883,2.411496344,2.43896442,2.425152783
0.00930676,4.092321076,3.952462036,3.952466526,3.460762358,3.449636708
0.0130204,3.958930551,4.118787651,4.118781876,3.681219664,3.706633894
0.0212437,4.091662839,3.694050838,3.69850572,3.426778328,3.714903443
0.0110081,4.408984408,4.05867669,4.058673232,3.780907077,3.769110494
0.0120578,3.934771593,3.25807195,3.258072183,3.562058013,3.554790561
0.00861551,3.601403587,3.262658049,3.26266803,3.203152966,3.1807475
0.0133365,1.62269976,1.334074218,1.334072683,1.532577226,1.534472934
0.0216679,3.504621953,2.501864887,2.608034263,2.247359604,2.489642543
0.00855022,4.271320393,3.310340078,3.310333422,3.884315295,3.869611661
0.0130979,3.339089664,3.066107731,3.066099156,3.232678301,3.237024908
0.00678233,1.042640084,1.093636073,1.093625979,1.573739609,1.549452658
0.00686338,3.484823715,3.187427476,3.187461128,3.378503576,3.361367576
0.00861178,2.865320874,2.756145072,2.756149677,3.242893365,3.228041671
0.0090405,3.978124739,3.709903163,3.70989974,3.417182892,3.404240513
0.0268293,3.639357779,2.727229174,3.024835163,1.891763143,2.581639568
0.00708796,4.132196923,4.092319215,4.092316038,3.186936108,3.173554228
0.0259435,3.619433878,2.743152566,2.915061719,2.116954546,2.619249651
0.0165064,3.409217405,2.954053569,2.954077156,2.460663667,2.650928826
0.00675225,2.899436986,2.904656026,2.904650506,2.707879116,2.683634165
0.00672973,3.723308203,3.582036993,3.582049291,3.481974282,3.461255615
0.0263125,4.209693904,3.929231774,4.073156873,3.704818828,3.994948689
0.0132527,3.726793111,3.882276754,3.882245805,4.297424267,4.32113616
0.0183318,3.398442139,2.617659943,2.617647843,2.213392246,2.556916349
0.010349,3.469174651,2.929413039,2.929389405,3.149041383,3.130195159
0.0140058,4.019864971,4.163643209,4.163652925,3.308393506,3.360604043
0.00543213,2.750871686,2.625445818,2.625449369,3.2094136,3.195931957
0.0434012,4.217126936,2.038907071,2.268532908,2.141897101,3.487595632
0.00472982,3.059646153,2.894075355,2.894088318,3.048515815,3.028378155
0.0280449,3.365127406,3.146824344,3.288738836,2.899589601,3.82481694
0.00950006,3.39272198,2.990478463,2.990479424,2.808488577,2.788306775
0.00906214,3.383766816,3.306522307,3.306514246,3.275719868,3.259649921
0.0143804,3.810707977,3.675665372,3.675665668,3.320385389,3.371936906
0.0112587,3.543943542,3.306604878,3.306591424,3.653096814,3.647584739
0.00890114,4.321835374,4.212806877,4.212809345,3.834104599,3.824515894
0.0077523,1.984581338,2.054916539,2.054900766,2.574344013,2.55694907
0.0125687,4.698853192,4.290905869,4.29089424,3.683930112,3.674619778
0.00697949,3.903610908,3.475066017,3.475065899,3.383820858,3.371000144
0.0172296,2.251019654,1.802224312,1.802235342,1.512314311,1.69743824
0.0262205,4.470745414,3.123690214,3.214453761,3.777398942,3.982615939
0.0131474,2.661075111,2.563836292,2.563832406,3.319924566,3.310127038
0.00857579,3.28534889,3.310535267,3.310531811,3.593166014,3.570777307
0.00812801,3.251761374,3.088942335,3.088938519,3.043111366,3.025709698
0.015731,3.682442378,3.240687184,3.240680218,2.966004088,3.119432737
